lesson,heb_word,card_id,notes
9,מַחְשֵׁב נַייָּד,1512228238878,V1 import
10,בַּקָּשָׁה,1510749453618,V1 import
15,שָׁם,1306377299808,V1 import
16,דִּיאֵטָה,1512228237766,V1 import
16,מֵבִין,1512228229437,V1 import
16,כִּי,1313503614604,V1 import
17,מִיטָּה,1308624588054,V1 import
17,כִּיסֵּא,1308624588053,V1 import
19,אָח,1320094363817,V1 import
19,אָחוֹת גְּדוֹלָה,1446043028123,V1 import
19,אָחוֹת צְעִירָה,1446043028122,V1 import
20,סוֹף סוֹף,1512228217931,V1 import
