id,hebrew,english,sound,tags
L001.S00,בּוֹקֶר٭,morning,[sound:L001.S00.mp3],assimil assimil-01
L001.S01,בּוֹקֶר טוֹב!٭,Good morning!,[sound:L001.S01.mp3],assimil assimil-01
L001.T01,בוקר٭,morning,[sound:L001.T01.mp3],assimil assimil-01
L001.T02,טוב٭,good,[sound:L001.T02.mp3],assimil assimil-01
L001.T03,אור٭,light,[sound:L001.T03.mp3],assimil assimil-01
L001.T04,בוקר טוב.٭,Good morning (morning good),[sound:L001.T04.mp3],assimil assimil-01
L001.T05,בוקר אור.٭,Good morning (morning-of light),[sound:L001.T05.mp3],assimil assimil-01
